,cancer type,gene,Article p_value,R p_value,Lorsi p_value,num of samples,better group survival,delta tested,max k changes with chosen alpha,max k changes to stay stable,max alpha to stay stable,p_value upper with max changes k,p_value upper on alpha 0.01,p_value upper one change,is greedy algo correct up to alpha,k changes to reach disagreement,p_value when disagreement,p_value greedy on alpha 0.01
42,Breast,PIK3C2A,0.172175,0.101805,0.085303,1073,B,0.05,,,,,,,,,,
43,Breast,VIM,0.149458,0.376511,0.408592,1073,B,0.05,,,,,,,,,,
44,Breast,TALDO1,0.071386,0.050456,0.046074,1073,B,0.05,10.0,0.0,0.0,0.046074,0.8707732910971167,0.0675681949779355,True,,,0.870773
45,Breast,SIRT1,0.287975,0.334669,0.369309,1073,A,0.05,,,,,,,,,,
46,Breast,FBP1,0.04175,0.01195,0.014478,1073,A,0.05,10.0,2.0,0.0019,0.041533,0.380149084885714,0.0170145619853191,True,,,0.380149
47,Breast,SERPINF1,0.484992,0.081344,0.09449,1073,B,0.05,,,,,,,,,,
48,Breast,CBX3,0.000402,0.051443,0.039906,1073,A,0.05,10.0,0.0,0.0,0.039906,0.7171247987404284,0.0513555866350647,True,,,0.717125
49,Breast,BMI1,0.626628,0.108625,0.129999,1073,B,0.05,,,,,,,,,,
50,Breast,PCK2,0.069113,0.016633,0.019595,1073,B,0.05,10.0,1.0,0.0009,0.017797,0.6340028693285962,0.017796619196067,True,,,0.634003
51,Breast,TP73,0.006431,0.008183,0.010214,1073,B,0.05,10.0,3.0,0.0028,0.037813,0.3461689191726667,0.0148588720019562,True,,,0.346169
52,Breast,PRPS1,0.080836,0.553129,0.522996,1073,B,0.05,,,,,,,,,,
53,Breast,PLK1,0.016301,0.044834,0.05068,1073,A,0.05,,,,,,,,,,
54,Breast,RPA3,0.054333,0.272844,0.228335,1073,B,0.05,,,,,,,,,,
55,Breast,PTGES3,3.4e-05,0.002008,0.002434,1073,B,0.05,10.0,4.0,0.0037,0.04953,0.3995001965998089,0.0033704478026621,True,,,0.3995
56,Breast,XAB2,0.193591,0.256603,0.232973,1073,A,0.05,,,,,,,,,,
57,Breast,EGR1,0.071975,0.241789,0.263718,1073,A,0.05,,,,,,,,,,
58,Breast,BNIP3,0.002096,0.000808,0.000609,1073,A,0.05,10.0,9.0,0.0084,0.049493,0.0714306824770985,0.0010116095919375,True,,,0.071431
59,Breast,SERPINE1,0.074603,0.209931,0.246203,1073,A,0.05,,,,,,,,,,
60,Breast,CTNNB1,0.372197,0.166657,0.208439,1073,B,0.05,,,,,,,,,,
61,Breast,MYLK,0.055293,0.185897,0.239036,1073,B,0.05,,,,,,,,,,
62,Breast,TBK1,0.048523,0.398243,0.448304,1073,A,0.05,,,,,,,,,,
63,Breast,RAD1,0.00071,0.042708,0.035088,1073,B,0.05,10.0,1.0,0.0009,0.040071,0.6195845999782198,0.0400712344222206,True,,,0.619585
64,Breast,GALM,0.040254,0.055302,0.047749,1073,A,0.05,10.0,0.0,0.0,0.047749,0.5805788147246055,0.0539864476308963,True,,,0.580579
65,Breast,RAD51B,0.033921,0.04243,0.049835,1073,B,0.05,10.0,0.0,0.0,0.049835,0.7879393984460578,0.0648934433845246,True,,,0.787939
66,Breast,NEIL1,0.008514,0.072083,0.083409,1073,A,0.05,,,,,,,,,,
67,Breast,PFN1,0.065706,0.002539,0.003143,1073,B,0.05,10.0,5.0,0.0047,0.042265,0.2602017047392571,0.0038014212181714,True,,,0.260202
68,Breast,FOXD3,0.223921,0.10239,0.090122,1073,A,0.05,,,,,,,,,,
69,Breast,MTA1,0.007454,0.008826,0.011903,1073,B,0.05,10.0,3.0,0.0028,0.043386,0.3835451682414801,0.0178811052576826,True,,,0.383545
70,Breast,TNFRSF21,0.015699,0.005681,0.006956,1073,A,0.05,10.0,4.0,0.0037,0.044427,0.3219467873055138,0.0096642438191571,True,,,0.321947
71,Breast,VASP,0.028189,0.001376,0.001022,1073,B,0.05,10.0,8.0,0.0075,0.049557,0.1014442469253733,0.0015878760759292,True,,,0.101444
72,Breast,NPM1,0.013155,0.000256,0.000333,1073,B,0.05,10.0,8.0,0.0075,0.048386,0.1148121702706412,0.0003328684232944,True,,,0.114812
73,Breast,LTA,0.127752,0.048435,0.042482,1073,A,0.05,10.0,1.0,0.0009,0.047265,0.4151381273871046,0.0472647694243264,True,,,0.415138
74,Breast,PTK2,0.000184,0.007899,0.010196,1073,A,0.05,10.0,3.0,0.0028,0.037411,0.342430792157271,0.0150058542307464,True,,,0.342431
75,Breast,PTEN,0.157284,0.074974,0.056497,1073,A,0.05,,,,,,,,,,
76,Breast,RARA,0.00687,0.018045,0.022278,1073,A,0.05,10.0,1.0,0.0009,0.025777,0.4298123703260399,0.0257768057661756,True,,,0.429812
77,Breast,ANG,0.033244,0.189659,0.209125,1073,B,0.05,,,,,,,,,,
78,Breast,KAT5,0.388434,0.455257,0.402594,1073,A,0.05,,,,,,,,,,
79,Breast,NDUFC1,0.116041,0.244318,0.22512,1073,A,0.05,,,,,,,,,,
80,Breast,CDC16,0.089722,0.304184,0.334815,1073,A,0.05,,,,,,,,,,
81,Breast,TNF,0.253013,0.171355,0.153985,1073,A,0.05,,,,,,,,,,
82,Breast,TNFRSF10D,0.308468,0.045794,0.052156,1073,A,0.05,,,,,,,,,,
83,Breast,BIRC5,0.066434,0.039509,0.04588,1073,B,0.05,10.0,0.0,0.0,0.04588,0.8034626345697288,0.0538761261408585,True,,,0.803463
84,Breast,POLB,0.264181,0.095411,0.11048,1073,B,0.05,,,,,,,,,,
85,Breast,PEA15,0.456406,0.333418,0.385103,1073,B,0.05,,,,,,,,,,
86,Breast,CXCL6,,0.173573,0.155346,1073,B,0.05,,,,,,,,,,
87,Breast,MMS19,0.135061,0.492075,0.427361,1073,A,0.05,,,,,,,,,,
88,Breast,TWIST1,0.050894,0.002928,0.003608,1073,A,0.05,10.0,5.0,0.0047,0.045323,0.2681586962755967,0.0045176096081716,True,,,0.268159
89,Breast,METAP2,0.280913,0.271552,0.316951,1073,B,0.05,,,,,,,,,,
90,Breast,CAPN1,0.213047,0.207045,0.226035,1073,B,0.05,,,,,,,,,,
91,Breast,PGM1,0.412386,0.069902,0.053716,1073,A,0.05,,,,,,,,,,
92,Breast,RBL2,0.148142,0.074251,0.083657,1073,A,0.05,,,,,,,,,,
93,Breast,PDK2,0.100539,0.00036,0.00023,1073,A,0.05,10.0,9.0,0.0084,0.042668,0.0648521292241499,0.0003327563015344,True,,,0.064852
94,Breast,NDUFB10,0.51094,0.412888,0.496776,1073,B,0.05,,,,,,,,,,
95,Breast,IFNG,0.009053,0.000133,0.000103,1073,A,0.05,10.0,,,0.010817,0.0108171405772326,0.0001280376656455,True,,,0.010817
96,Breast,RORB,0.022082,0.001859,0.002497,1073,A,0.05,10.0,6.0,0.0056,0.040927,0.1608256584505662,0.0039011406246741,True,,,0.160826
97,Breast,ANPEP,0.085697,0.242935,0.26787,1073,B,0.05,,,,,,,,,,
98,Breast,FAP,0.013409,0.334361,0.404236,1073,A,0.05,,,,,,,,,,
99,Breast,MCL1,0.054775,0.030956,0.026911,1073,B,0.05,10.0,1.0,0.0009,0.038985,0.5786793447971468,0.03898510891928,True,,,0.578679
100,Breast,MSN,0.177641,0.204177,0.228465,1073,A,0.05,,,,,,,,,,
101,Breast,KIT,0.045709,0.189226,0.16692,1073,B,0.05,,,,,,,,,,
102,Breast,SDHB,0.117716,0.425348,0.456939,1073,B,0.05,,,,,,,,,,
103,Breast,PRC1,0.165838,0.047536,0.056639,1073,B,0.05,,,,,,,,,,
104,Breast,ESR1,0.084774,0.323226,0.281893,1073,B,0.05,,,,,,,,,,
105,Breast,NDUFB8,0.041907,0.127869,0.1649,1073,B,0.05,,,,,,,,,,
106,Breast,RND3,0.071961,0.172951,0.190968,1073,B,0.05,,,,,,,,,,
107,Breast,CCNF,0.03683,0.513328,0.5608,1073,B,0.05,,,,,,,,,,
108,Breast,CDKN3,0.039441,0.005905,0.007291,1073,B,0.05,10.0,4.0,0.0037,0.048374,0.3509576826012274,0.0096936647033694,True,,,0.350958
109,Breast,CFLAR,0.147359,0.191769,0.214255,1073,A,0.05,,,,,,,,,,
110,Breast,AGL,0.278243,0.166674,0.147279,1073,A,0.05,,,,,,,,,,
111,Breast,FANCG,0.108395,0.00754,0.005036,1073,A,0.05,10.0,3.0,0.0028,0.037668,0.3582428171444403,0.006619511053731,True,,,0.358243
112,Breast,ROCK1,0.443757,0.689845,0.642652,1073,A,0.05,,,,,,,,,,
113,Breast,CXCL3,0.028502,0.099354,0.07676,1073,B,0.05,,,,,,,,,,
114,Breast,RAD17,0.150688,0.200888,0.185078,1073,A,0.05,,,,,,,,,,
115,Breast,PIF1,0.270638,0.129564,0.111445,1073,B,0.05,,,,,,,,,,
116,Breast,CDC25C,0.002816,0.034638,0.039664,1073,B,0.05,10.0,1.0,0.0009,0.039664,0.8081503274039761,0.0396638514665112,True,,,0.80815
117,Breast,BOK,0.050387,0.149833,0.166424,1073,B,0.05,,,,,,,,,,
118,Breast,TNFRSF10A,0.235095,0.634213,0.67906,1073,A,0.05,,,,,,,,,,
119,Breast,UQCRC1,0.151958,0.040703,0.050311,1073,B,0.05,,,,,,,,,,
120,Breast,ERCC8,0.085778,0.035782,0.04239,1073,B,0.05,10.0,1.0,0.0009,0.049463,0.6977612935763312,0.0494626778929384,True,,,0.697761
121,Breast,EGFR,0.040158,0.210253,0.185791,1073,A,0.05,,,,,,,,,,
122,Breast,COX6A1,0.181139,0.269076,0.306963,1073,A,0.05,,,,,,,,,,
123,Breast,SP1,0.078913,0.172657,0.152003,1073,A,0.05,,,,,,,,,,
124,Breast,BARD1,0.091969,0.000765,0.000955,1073,B,0.05,10.0,7.0,0.0065,0.046997,0.1533797377028931,0.0010994937376842,True,,,0.15338
125,Breast,NFKBIB,0.277004,0.232381,0.253669,1073,A,0.05,,,,,,,,,,
126,Breast,RAD51C,0.007015,0.044642,0.05124,1073,A,0.05,,,,,,,,,,
127,Breast,PINX1,0.732415,0.394602,0.366856,1073,A,0.05,,,,,,,,,,
128,Breast,CXCL13,0.01143,0.000728,0.000545,1073,A,0.05,10.0,,,0.045319,0.0453189957165545,0.0006775872176698,True,,,0.045319
129,Breast,NDUFA10,0.031333,0.022971,0.026731,1073,B,0.05,10.0,1.0,0.0009,0.02425,0.6957583410797008,0.024250300805691,True,,,0.695758
130,Breast,GYS1,0.504444,0.177348,0.16167,1073,A,0.05,,,,,,,,,,
131,Breast,SDHD,0.149316,0.24583,0.225726,1073,A,0.05,,,,,,,,,,
132,Breast,PFKL,0.026785,0.091682,0.080906,1073,A,0.05,,,,,,,,,,
133,Breast,AKT1,0.055379,0.153999,0.120018,1073,A,0.05,,,,,,,,,,
134,Breast,PAX8,0.003829,0.04067,0.03626,1073,B,0.05,10.0,0.0,0.0,0.03626,0.6848950500861807,0.0521709123813978,True,,,0.684895
135,Breast,NFKBIZ,0.040264,0.051387,0.058307,1073,B,0.05,,,,,,,,,,
136,Breast,CCNG1,0.057231,0.213046,0.233128,1073,B,0.05,,,,,,,,,,
137,Breast,PIK3CA,0.189252,0.092159,0.103368,1073,A,0.05,,,,,,,,,,
138,Breast,KDR,0.194469,0.054473,0.075263,1073,A,0.05,,,,,,,,,,
139,Breast,MMP1,0.002751,0.020959,0.015853,1073,B,0.05,10.0,2.0,0.0019,0.03894,0.4874445776875232,0.0212554443091063,True,,,0.487445
140,Breast,SOCS3,0.000459,0.03175,0.025587,1073,B,0.05,10.0,1.0,0.0009,0.035271,0.560109980876311,0.0352708358970303,True,,,0.56011
141,Breast,COL4A3,0.514352,0.167173,0.185573,1073,A,0.05,,,,,,,,,,
142,Breast,BMP2,0.047072,0.30076,0.360712,1073,A,0.05,,,,,,,,,,
143,Breast,TERF2,0.065381,0.009471,0.008359,1073,A,0.05,10.0,3.0,0.0028,0.036331,0.4061750017619301,0.0134309396137738,True,,,0.406175
144,Breast,PDK1,0.182599,0.262123,0.217117,1073,B,0.05,,,,,,,,,,
145,Breast,LIG1,0.160415,0.109009,0.120638,1073,A,0.05,,,,,,,,,,
146,Breast,TIMP1,0.005877,0.048964,0.044517,1073,B,0.05,10.0,0.0,0.0,0.044517,0.8443007347345923,0.0652264326250365,True,,,0.844301
147,Breast,TWIST2,0.040436,0.095523,0.107285,1073,A,0.05,,,,,,,,,,
148,Breast,ILK,0.280111,0.16251,0.129256,1073,B,0.05,,,,,,,,,,
149,Breast,SNAI1,0.098713,0.00948,0.013295,1073,A,0.05,10.0,3.0,0.0028,0.049268,0.4316309203610982,0.0202135586140168,True,,,0.431631
150,Breast,NDUFS8,0.533557,0.427903,0.391093,1073,A,0.05,,,,,,,,,,
151,Breast,ERBB2,0.252227,0.11822,0.137865,1073,A,0.05,,,,,,,,,,
152,Breast,NDUFC2,0.074305,0.236192,0.213252,1073,A,0.05,,,,,,,,,,
153,Breast,TERT,0.064675,0.017466,0.019845,1073,B,0.05,10.0,1.0,0.0009,0.019845,0.8238520907482825,0.019845482567156,True,,,0.823852
154,Breast,PXN,0.037996,0.009409,0.007239,1073,A,0.05,10.0,4.0,0.0037,0.043408,0.3006955041568724,0.0104876958134847,True,,,0.300696
155,Breast,CXCL5,0.358249,0.521143,0.554111,1073,A,0.05,,,,,,,,,,
156,Breast,MYB,0.261035,0.117704,0.135674,1073,A,0.05,,,,,,,,,,
157,Breast,LTB,0.018546,0.01641,0.020774,1073,B,0.05,10.0,2.0,0.0019,0.047016,0.4871861833183625,0.0293258601320534,True,,,0.487186
158,Breast,ACD,0.179223,0.201271,0.219912,1073,A,0.05,,,,,,,,,,
159,Breast,FST,0.152485,0.328792,0.302909,1073,B,0.05,,,,,,,,,,
160,Breast,PLAUR,0.237568,0.01249,0.008734,1073,B,0.05,10.0,3.0,0.0028,0.038551,0.4175078544577185,0.0098997458568196,True,,,0.417508
161,Breast,DEDD2,0.149042,0.268886,0.244971,1073,B,0.05,,,,,,,,,,
162,Breast,PGM2,0.045538,0.344113,0.388127,1073,A,0.05,,,,,,,,,,
163,Breast,DKC1,0.01066,0.279504,0.320968,1073,A,0.05,,,,,,,,,,
164,Breast,CAPN2,0.079902,0.123626,0.113181,1073,B,0.05,,,,,,,,,,
165,Breast,NOXA,0.152986,0.193083,0.213227,1073,A,0.05,,,,,,,,,,
166,Breast,NEIL2,0.074307,0.028267,0.025698,1073,A,0.05,10.0,1.0,0.0009,0.039407,0.7028560162003392,0.0394067879920551,True,,,0.702856
167,Breast,FAS,0.134833,0.097059,0.111325,1073,A,0.05,,,,,,,,,,
168,Breast,RNF8,0.019686,0.439996,0.374386,1073,B,0.05,,,,,,,,,,
169,Breast,CFL1,0.15705,0.033454,0.025449,1073,B,0.05,10.0,1.0,0.0009,0.033237,0.6138938552259434,0.0332368439895783,True,,,0.613894
170,Breast,CASP9,0.000907,0.009013,0.011941,1073,B,0.05,10.0,3.0,0.0028,0.042942,0.373311946075969,0.0177453151301259,True,,,0.373312
171,Breast,TYMP,0.008645,0.011195,0.014061,1073,A,0.05,10.0,2.0,0.0019,0.036193,0.3116000737457488,0.016386671052137,True,,,0.3116
172,Breast,CASP10,0.066207,0.115129,0.129154,1073,B,0.05,,,,,,,,,,
173,Breast,FANCD2,0.02592,0.023815,0.027745,1073,B,0.05,10.0,1.0,0.0009,0.032952,0.6484838510435591,0.0329523607773326,True,,,0.648484
174,Breast,POT1,0.00363,0.001403,0.000976,1073,B,0.05,10.0,7.0,0.0065,0.039638,0.1258739085031138,0.0015671896156338,True,,,0.125874
175,Breast,IL6,0.195821,0.163346,0.179879,1073,A,0.05,,,,,,,,,,
176,Breast,MMP7,0.009173,0.027004,0.021184,1073,A,0.05,10.0,1.0,0.0009,0.02465,0.4182335425277633,0.0246504134437051,True,,,0.418234
177,Breast,SLX4,0.106336,0.322741,0.293097,1073,A,0.05,,,,,,,,,,
178,Breast,HUS1,0.214686,0.281338,0.349659,1073,B,0.05,,,,,,,,,,
179,Breast,EME1,0.57221,0.057891,0.066915,1073,B,0.05,,,,,,,,,,
180,Breast,BIK,0.002816,0.016753,0.019755,1073,B,0.05,10.0,1.0,0.0009,0.025299,0.7590749846660042,0.0252990086480301,True,,,0.759075
181,Breast,COX7A2,0.261141,0.214737,0.235542,1073,A,0.05,,,,,,,,,,
182,Breast,SDHA,0.001207,0.004553,0.005459,1073,A,0.05,10.0,4.0,0.0037,0.044805,0.3834052169624109,0.0048202334938454,True,,,0.383405
183,Breast,PDK4,0.00423,0.057283,0.07945,1073,A,0.05,,,,,,,,,,
184,Breast,LIG4,0.152939,0.074023,0.065589,1073,B,0.05,,,,,,,,,,
185,Breast,HSPA1L,0.259007,0.365507,0.445261,1073,B,0.05,,,,,,,,,,
186,Breast,BNIP3L,0.178644,0.001989,0.00245,1073,A,0.05,10.0,5.0,0.0047,0.03398,0.2216205211905423,0.0030901034772365,True,,,0.221621
187,Breast,FOXO3,0.026259,0.021118,0.015291,1073,A,0.05,10.0,2.0,0.0019,0.038734,0.5135632265314715,0.0180065514856833,True,,,0.513563
188,Breast,MMP2,0.106438,0.052823,0.060813,1073,B,0.05,,,,,,,,,,
189,Breast,TNFRSF10B,0.009771,0.104722,0.130274,1073,B,0.05,,,,,,,,,,
190,Breast,FANCA,0.038767,0.075469,0.068948,1073,B,0.05,,,,,,,,,,
191,Breast,SMG6,0.173321,0.043178,0.039217,1073,A,0.05,10.0,0.0,0.0,0.039217,0.7695777615514905,0.0571207533235928,True,,,0.769578
192,Breast,CDC42,0.232163,0.024424,0.029081,1073,B,0.05,10.0,1.0,0.0009,0.038139,0.6452612233576578,0.0381390296268071,True,,,0.645261
193,Breast,PIGF,0.004722,0.020731,0.024048,1073,B,0.05,10.0,1.0,0.0009,0.030545,0.682837436714457,0.0305445141337293,True,,,0.682837
194,Breast,BCL2,0.001526,0.036188,0.041541,1073,B,0.05,10.0,1.0,0.0009,0.041541,0.8882148527947844,0.041540940615996,True,,,0.888215
195,Breast,NBN,0.141709,0.13321,0.15738,1073,B,0.05,,,,,,,,,,
196,Breast,SNAI2,0.120871,0.346432,0.296259,1073,B,0.05,,,,,,,,,,
197,Breast,CTSK,0.178517,0.063864,0.077014,1073,A,0.05,,,,,,,,,,
198,Breast,PNKP,0.001617,0.002787,0.003941,1073,B,0.05,10.0,5.0,0.0047,0.040175,0.2198187861001341,0.006200742015642,True,,,0.219819
199,Breast,RPA1,0.251734,0.271573,0.325722,1073,B,0.05,,,,,,,,,,
200,Breast,LIMK1,0.068179,0.001237,0.001519,1073,A,0.05,10.0,5.0,0.0047,0.049637,0.2535925797489773,0.0021166919997508,True,,,0.253593
201,Breast,APAF1,0.12737,0.181675,0.164417,1073,A,0.05,,,,,,,,,,
202,Breast,PGK1,0.0,0.000176,0.000226,1073,B,0.05,10.0,9.0,0.0084,0.049879,0.07040866412749,0.0003245615452413,True,,,0.070409
203,Breast,ARRDC3,0.373366,0.281505,0.315045,1073,A,0.05,,,,,,,,,,
204,Breast,CHUK,0.006512,0.035455,0.030617,1073,A,0.05,10.0,1.0,0.0009,0.04343,0.6005492524734388,0.0434301307565427,True,,,0.600549
205,Breast,UQCRC2,0.213848,0.041736,0.034237,1073,A,0.05,10.0,1.0,0.0009,0.046646,0.6226249039763229,0.0466464746393241,True,,,0.622625
206,Breast,TERF1,0.013733,0.017613,0.015729,1073,A,0.05,10.0,2.0,0.0019,0.039413,0.5172529775329298,0.0241863072799016,True,,,0.517253
207,Breast,IDH3B,0.228737,0.260945,0.233265,1073,B,0.05,,,,,,,,,,
208,Breast,TIMP2,0.084136,0.042324,0.048996,1073,A,0.05,10.0,1.0,0.0009,0.048996,0.8964919881748694,0.0489958034945202,True,,,0.896492
209,Breast,NEIL3,0.067911,0.206472,0.230521,1073,B,0.05,,,,,,,,,,
210,Breast,CDC20,0.020787,0.035777,0.040985,1073,B,0.05,10.0,1.0,0.0009,0.040985,0.8218283952756393,0.0409848446859823,True,,,0.821828
211,Breast,ELK1,0.282819,0.198874,0.179698,1073,B,0.05,,,,,,,,,,
212,Breast,NFKBIA,0.000499,0.000259,0.000227,1073,B,0.05,10.0,9.0,0.0084,0.036939,0.0562020282676728,0.0004289495176288,True,,,0.056202
213,Breast,CASP14,0.071876,0.025972,0.022762,1073,B,0.05,10.0,1.0,0.0009,0.025141,0.313582823999398,0.0251409501562299,True,,,0.313583
214,Breast,ACLY,0.075458,0.253077,0.198442,1073,B,0.05,,,,,,,,,,
215,Breast,TSC1,0.28106,0.033709,0.027141,1073,A,0.05,10.0,1.0,0.0009,0.03628,0.5864640475100213,0.036280419172372,True,,,0.586464
216,Breast,G6PD,0.032474,0.155256,0.176465,1073,A,0.05,,,,,,,,,,
217,Breast,COX4I1,0.071915,0.207964,0.176366,1073,B,0.05,,,,,,,,,,
218,Breast,BCL2L2,0.02748,0.027884,0.019834,1073,A,0.05,10.0,1.0,0.0009,0.019834,0.6347755682030423,0.0198341227393266,True,,,0.634776
219,Breast,FOS,0.014633,0.275137,0.253888,1073,B,0.05,,,,,,,,,,
220,Breast,COX5B,0.036767,0.057882,0.067805,1073,B,0.05,,,,,,,,,,
221,Breast,PHKG2,0.008198,0.006367,0.00872,1073,A,0.05,10.0,3.0,0.0028,0.038007,0.241408269233718,0.0098801902436705,True,,,0.241408
222,Breast,MUTYH,0.007034,0.016764,0.019453,1073,B,0.05,10.0,1.0,0.0009,0.019453,0.6631845130123553,0.0194528770550797,True,,,0.663185
223,Breast,PAK1,0.024672,0.000128,0.000177,1073,B,0.05,10.0,,,0.042583,0.0425834965423926,0.0002790980300486,True,,,0.042583
224,Breast,TNKS,0.258092,0.075995,0.063891,1073,A,0.05,,,,,,,,,,
225,Breast,MYC,0.033843,0.317763,0.276308,1073,A,0.05,,,,,,,,,,
226,Breast,CDC25A,0.215232,0.087478,0.102377,1073,B,0.05,,,,,,,,,,
227,Breast,JAK2,0.004949,0.021976,0.025339,1073,B,0.05,10.0,1.0,0.0009,0.025339,0.7030928859811871,0.0253390345976167,True,,,0.703093
228,Breast,ATXN3,0.033193,0.038468,0.044173,1073,A,0.05,10.0,0.0,0.0,0.044173,0.8623821672825267,0.0541098364468283,True,,,0.862382
229,Breast,RAD51D,0.05421,0.220981,0.176663,1073,A,0.05,,,,,,,,,,
230,Breast,CASP8,0.02134,0.005678,0.003683,1073,A,0.05,10.0,3.0,0.0028,0.03315,0.3619711753033005,0.0049903513579259,True,,,0.361971
231,Breast,BCAR1,0.058118,0.030989,0.039406,1073,A,0.05,10.0,0.0,0.0,0.039406,0.6602624218120329,0.0548681288065581,True,,,0.660262
232,Breast,BPGM,0.384111,0.032485,0.02624,1073,B,0.05,10.0,1.0,0.0009,0.036526,0.5602030327742549,0.0365262643591172,True,,,0.560203
233,Breast,TCF3,0.128068,0.003666,0.002451,1073,B,0.05,10.0,5.0,0.0047,0.034384,0.2230118281297463,0.0030920411227947,True,,,0.223012
234,Breast,CAV1,0.148167,0.147487,0.191703,1073,A,0.05,,,,,,,,,,
235,Breast,PHKA1,0.008904,0.197596,0.181556,1073,B,0.05,,,,,,,,,,
